time,Power,Alive Robo,Total Robo
0.02,609,15,16
0.25,612,15,16
0.49,634,16,17
0.71,692,19,20
0.94,699,21,22
1.17,669,21,22
1.39,683,21,23
1.64,671,21,24
1.87,681,24,27
2.12,702,28,32
2.37,655,29,34
2.65,558,31,37
2.93,502,23,38
3.15,472,19,38
3.41,476,18,39
3.67,450,18,41
3.92,417,17,42
4.18,421,17,43
4.44,407,17,45
4.68,439,16,47
4.93,441,16,49
5.18,364,14,50
5.44,329,13,52
5.68,310,14,53
5.93,272,13,55
6.18,200,13,57
6.44,166,10,58
6.66,153,9,59
6.88,139,9,60
7.12,112,6,60
7.37,108,6,60
7.61,99,4,60
7.85,99,4,60
8.09,63,3,60
8.33,63,3,60
8.57,63,3,60
8.8,63,3,60
9.04,44,2,60
9.26,44,2,60
9.5,36,1,60
9.73,36,1,60
9.97,36,1,60
10.21,36,1,60
10.44,36,1,60
10.69,36,1,60
10.92,36,1,60
